Unnamed: 0,Unnamed: 1,Unnamed: 2
Azur Updated Beverage Menu,,
,,
BUBBLY,150 ml,750 ml
Kraemer Blan de Blanc Brut,45,195
"Chateau de Bligny Grand Rv. Brut
",,850
Moët & Chandon Brut Impérial,,995
WHITE WINES,150 ml,750 ml
"CDR Blanc Legends Des Toques 2021, France",40,195
"Table Mountain Sauvignon Blanc 2022,  South Africa",45,195
"Te Kairanga Estate Sauvignon Blanc 2021, New Zealand",,419
"Joel Gott Chardonnay 2020, USA",,499
"Louis Moreau Petit Chablis, France",,695
"Domain Louis Moreau Chablis, France",,799
ROSE WINES,150 ml,750 ml
"Terre Siciliane Rosato IGP, Italy",45,195
"Matues Rosé, Portugal",48,215
RED WINES,150 ml,750 ml
"Foundstone Cabernet Sauvignon 2022, USA ",45,195
"Hierogram Zinfandel 2018, USA",,235
"Medalla Real RVA Merlot 2020, Chile",55,265
"Metal Label Black Shiraz, Australia",55,265
"Pata Negra Rioja Crianza Red 2016, Spain",60,275
"Pata Negra Rioja Reserva 2016, Spain",,310
"Cru Monplaisir Bord Sup Rouge 2020, France",,325
"Felsina Chianti Colli Senesi DOCG Rosso, Italy",,335
"Toscana Rosso IGT Poggio Delle Faine 2016, Italy",,425
"Chateauneuf Pape Calvet, France",,799
"Tarapaca Black Label 2017, Chile",,810
BEERS,pint,1/2 pint
Lion Beer Draught,45,35
"Heineken, Tiger Draught",50,35
"Amstel Light Btl, Corona Btl, Heineken Btl, ",,40
Guinness can,,55
CRAFTED COCKTAILS,,
L’orange Sour,65,
"Vodka, aperol, cointreau, lemon Juice, orange juice",,
The Italian,65,
"Limoncello, campari, passion puree, grapefruit juice",,
Rising Sun,65,
"Aperol, lemon juice, bitters, topped with prosecco",,
Sandia Borracha,65,
"Rum, watermelon, lime juice, fresh mint",,
"CLASSIC COCKTAILS
",,
Aperol Spritz,58,
"Aperol, sparkling wine, orange wheel, soda water",,
Bliss on the Beach,58,
"Vodka, peach schnapps, orange, cranberry juice",,
Bloody Mary,58,
"Vodka, tomato juice, house seasoning",,
Bull Frog,85,
"Vodka, gin, tequila, rum, blue curacao, red bull",,
Caipirinha,58,
"Cachaça, fresh lime, sugar",,
Daiquiri,58,
"White rum, lemon juice, sugar syrup",,
Jagerbomb,58,
"Jagermeister, redbull",,
Long Island Iced Tea,68,
"Vodka, gin tequila, rum, triple sec, cola, lime juice",,
Mai Tai,58,
"White rum, dark rum, cointreau, almond syrup",,
Margarita,58,
"Tequila, triple sec, lime juice",,
Mojito,58,
"White rum, fresh mint leaves, lemon, soda",,
Negroni,58,
"Gin, campari, vermouth rosso",,
Piña Colada,58,
"White rum, pineapple juice, coconut cream",,
Sex on the Beach,58,
"Vodka, peach liqueur, orange and cranberry juice",,
Vanilla Espresso Martini,58,
